arrival_time,input_tokens,output_tokens
340.84,3560,535
340.942,729,114
340.962,8976,177
341.188,454,112
341.275,1628,109
341.301,4086,374
341.938,249,34
342.02,3942,387
342.438,442,170
342.462,1167,77
342.814,1981,539
343.592,11228,252
343.843,1078,25
344.102,1369,118
344.355,634,563
344.742,381,41
344.801,11228,325
345.06,977,1
345.242,1323,43
345.242,2200,116
345.269,1713,111
345.301,2905,112
346.003,1722,27
346.518,2129,125
346.571,1903,477
346.604,4334,352
347.194,3795,148
347.592,3350,73
347.842,4613,92
347.896,1155,609
348.44,315,73
348.745,1205,428
349.442,6631,137
349.551,8814,280
349.961,697,57
350.319,6252,147
350.346,9156,340
351.003,495,182
351.354,3928,256
351.592,684,58
351.746,3850,255
351.812,8821,251
352.338,2107,514
352.341,3851,107
353.352,748,516
354.053,2560,282
354.722,1393,695
354.769,78,4
355.066,1200,1
355.197,715,66
355.21,953,128
355.3,949,104
356.551,1863,137
357.301,1684,343
357.505,446,40
357.551,8814,297
357.752,718,174
357.836,1768,516
358.742,2053,61
359.25,101007,199
359.269,919,8
359.801,992,247
360.395,362,1
361.095,3587,230
361.542,791,371
361.56,3723,20
362.246,902,154
364.005,1714,339
364.208,375,43
364.352,280,1
365.543,1428,27
365.753,131,152
365.825,3502,1154
365.989,1265,36
366.567,59,4
366.599,2444,546
367.264,1499,3
367.312,4734,1264
368.32,699,47
368.761,379,40
368.821,1767,24
369.074,421,85
369.268,2900,81
369.6,839,54
369.771,2213,104
370.085,257,39
370.768,342,37
370.806,247,36
371.509,1247,141
372.023,2163,119
372.209,785,75
372.334,749,417
372.551,346,44
373.248,719,59
373.508,3849,113
373.552,3845,81
375.042,1643,124
375.321,854,108
376.269,4127,12
377.07,1068,98
377.321,1171,86
377.554,2372,8
377.59,878,8
377.754,3929,261
378.098,2058,34
378.504,330,1
378.541,2918,122
378.756,1736,62
379.524,1169,80
379.551,1205,500
379.75,1138,61
379.758,612,269
379.843,727,40
380.041,3983,912
380.073,819,3
380.244,1433,87
380.27,1449,108
380.339,1145,96
380.541,626,230
380.998,3368,119
381.495,8818,299
381.522,8528,74
381.588,1288,134
381.834,6992,290
381.996,1734,152
382.246,977,272
382.738,687,441
382.745,1183,406
383.084,963,137
383.193,890,8
383.799,788,325
383.799,1480,121
383.824,347,31
384.02,258,57
384.073,1146,28
384.246,774,480
384.268,5078,186
384.268,9181,196
385.341,6974,39
385.835,684,40
386.023,1013,325
386.073,3079,532
386.321,8813,235
386.33,1190,69
386.518,1205,404
386.592,1643,75
387.076,1745,28
387.408,1480,120
387.591,1169,88
387.755,4122,316
387.824,680,60
388.001,6855,2
388.075,1445,26
388.197,1807,24
388.247,1236,336
388.322,1464,66
388.519,1310,28
388.647,728,536
388.841,950,28
389.577,1201,26
389.802,1726,24
389.822,1464,75
390.074,4200,95
390.156,819,3
390.586,644,9
390.773,347,33
390.904,3679,119
391.334,876,8
391.349,4841,1327
391.521,247,11
391.742,1433,76
391.755,2980,372
391.835,1865,31
392.027,913,147
392.577,1433,79
392.742,3383,210
392.971,1553,49
393.497,577,49
393.505,345,47
393.525,3945,311
394.816,511,790
395.022,3612,496
395.071,8827,311
395.251,1044,26
395.252,832,25
395.257,1480,145
395.26,748,8
396.099,577,311
396.406,2930,382
396.523,408,108
396.797,986,288
397.004,2371,11
397.085,1131,134
397.395,4788,691
397.522,255,48
397.584,1773,28
397.691,6371,23
397.756,3990,464
397.999,3086,94
398.253,1707,5
398.334,3796,74
398.845,815,57
399.086,6867,259
399.296,1027,21
399.591,2950,142
399.987,690,421
400.753,3755,68
400.775,816,161
400.996,697,58
401.803,11197,382
402.691,345,48
402.753,684,55
402.998,1159,3
403.446,754,809
403.502,2137,144
403.823,367,247
404.324,1011,103
404.505,954,149
404.693,1919,30
404.756,661,1000
405.156,734,26
405.589,1721,27
406.02,1480,138
406.352,5258,678
406.839,366,51
407.022,1205,468
407.312,2314,917
407.345,1682,7
407.59,1270,130
407.591,2900,14
407.907,693,48
408.56,381,111
408.75,1036,52
408.75,704,55
408.838,1387,25
409.651,1231,21
409.819,401,127
409.902,3914,266
410.75,3793,106
412.518,3911,362
412.943,1236,500
413.5,462,73
413.898,1659,97
413.989,23606,1024
414.268,983,148
415.076,1503,89
415.087,2470,77
415.338,2710,1507
415.443,964,85
415.518,1741,24
415.768,842,143
415.898,1464,74
416.768,8843,311
416.942,3360,113
417.342,622,482
417.822,1706,80
417.844,1665,377
418.217,9780,99
419.149,7790,330
419.503,1170,67
419.506,328,81
420.018,1205,312
420.097,514,421
420.098,1372,430
420.253,650,177
420.769,1433,94
421.518,601,533
